tsne_x,tsne_y,file_name,sound_type,id,gender,age,native_language,country,health,grid_x,grid_y,start_time,end_time
0.38198236,0.46457833,m0186_0_cough,cough,m0186, male,56, United States of America, EN, no,28,54,30.312,30.636
0.6298528,0.20108145,m2743_0_sniff,sniff,m2743, male,29, United States of America, EN, no,72,28,30.636,31.716
0.4087042,0.89992976,m2731_0_cough,cough,m2731, male,35, Pakistan, UR, no,18,140,31.716,32.796
0.56878597,0.5581568,m2047_0_sneeze,sneeze,m2047, male,40, India, HI, no,66,84,32.796,33.876
0.6251209,0.18994217,f1303_0_sniff,sniff,f1303, female,50, United States of America, EN, no,71,26,33.876,34.956
0.17863292,0.5233356,m0563_2_cough,cough,m0563, male,45, United States of America, EN, no,19,81,34.956,36.036
0.34380192,0.8654451,f2684_0_cough,cough,f2684, female,30, Canada, EN, no,2,139,36.036,37.116
0.64567906,0.84669983,f1621_0_cough,cough,f1621, female,53, United States of America, EN, no,102,132,37.116,38.196
0.154049,0.47464302,m0262_0_laughter,laughter,m0262, male,42, United States of America, EN, no,18,54,38.196,39.276
0.4588066,0.8354913,m2261_0_cough,cough,m2261, male,33, United Kingdom, EN, no,40,124,39.276,40.356
0.3989392,0.772168,m0618_0_throatclearing,throatclearing,m0618, male,27, United States of America, EN, no,22,114,40.356,41.436
0.56672233,0.17567308,f1653_0_sniff,sniff,f1653, female,43, United States of America, EN, no,44,20,41.436,42.516
0.63120925,0.31889364,f2558_0_sneeze,sneeze,f2558, female,22, United States of America, EN, no,72,41,42.516,43.452
0.17432398,0.4523887,f0028_0_laughter,laughter,f0028, female,51, United States of America, EN, no,21,53,43.452,44.532
0.8565087,0.20981775,m0056_0_sigh,sigh,m0056, male,25, Italy, IT, no,125,12,44.532,45.612
0.35785753,0.7945291,m1864_0_cough,cough,m1864, male,22, United Kingdom, EN, no,10,118,45.612,46.692
0.8545399,0.36757463,m2393_0_sigh,sigh,m2393, male,22, Brazil, PT, no,118,54,46.692,47.772
0.90570754,0.25944096,f2192_0_sigh,sigh,f2192, female,25, United States of America, EN, no,128,29,47.772,48.852
0.31115642,0.5211816,m0587_0_sneeze,sneeze,m0587, male,64, United States of America, EN, no,30,71,48.852,49.788
0.77666265,0.42083064,f2368_0_laughter,laughter,f2368, female,18, United States of America, EN, no,108,62,49.788,50.868
0.72945106,0.61463296,m0973_0_sneeze,sneeze,m0973, male,37, United States of America, EN, no,111,98,50.868,51.948
0.6978754,0.825606,f0627_0_throatclearing,throatclearing,f0627, female,55, United States of America, EN, no,115,136,51.948,53.028
0.08454375,0.40621266,f1685_0_laughter,laughter,f1685, female,25, United States of America, EN, no,7,34,53.028,54.108
0.5683682,0.267685,m0882_0_sniff,sniff,m0882, male,62, United States of America, EN, no,54,34,54.108,55.188
0.15812883,0.43602368,f1690_0_laughter,laughter,f1690, female,19, United States of America, EN, no,18,48,55.188,56.268
0.6825166,0.5876996,f0067_0_sneeze,sneeze,f0067, female,22, United States of America, EN, no,97,91,56.268,57.348
0.8136776,0.7960956,f1352_0_throatclearing,throatclearing,f1352, female,44, United States of America, EN, no,136,133,57.348,58.428
0.1248516,0.3575203,f0674_0_laughter,laughter,f0674, female,38, United States of America, EN, yes,13,9,58.428,59.508
0.52548015,0.18072583,f1585_0_sniff,sniff,f1585, female,34, United Kingdom, SW, no,26,17,59.508,60.588
0.5182414,0.95180905,f3340_0_cough,cough,f3340, female,39, United States of America, EN, no,53,139,60.588,61.668
0.59334284,0.07616781,m0772_0_sniff,sniff,m0772, male,37, United States of America, EN, no,51,9,61.668,62.748
0.45540303,0.36963505,m1190_0_throatclearing,throatclearing,m1190, male,42, Canada, EN, no,33,32,62.748,63.828
0.5060066,0.80930024,m0700_0_cough,cough,m0700, male,30, India, HI, no,57,120,63.828,64.908
0.7335552,0.21960235,f3332_0_sniff,sniff,f3332, female,29, United States of America, EN, no,100,30,64.908,65.988
0.098773696,0.3572114,f0661_0_laughter,laughter,f0661, female,40, United States of America, EN, no,8,9,65.988,67.068
0.9136903,0.22658366,m1762_0_sigh,sigh,m1762, male,28, Brazil, PT, no,132,17,67.068,68.148
0.12030647,0.37380922,f2890_0_laughter,laughter,f2890, female,36, United Kingdom, EN, no,13,19,68.148,69.228
0.51192546,0.6906852,m1112_0_cough,cough,m1112, male,27, United States of America, EN, no,53,100,69.228,70.308
0.14391814,0.4561798,f2885_0_laughter,laughter,f2885, female,38, United States of America, EN, no,15,52,70.308,71.388
0.624687,0.25086355,f2520_0_sniff,sniff,f2520, female,24, United States of America, EN, no,70,34,71.388,72.468
0.100542665,0.45665437,m2137_0_laughter,laughter,m2137, male,24, Brazil, PT, no,9,51,72.468,73.548
0.6467066,0.37512404,m0578_0_sneeze,sneeze,m0578, male,37, United States of America, EN, no,84,53,73.548,74.628
0.6263584,0.15123844,m0222_0_sniff,sniff,m0222, male,32, India, TA, no,71,20,74.628,75.708
0.7297278,0.7578469,f0450_0_throatclearing,throatclearing,f0450, female,25, United States of America, EN, no,114,119,75.708,76.788
0.7172899,0.31060234,m2495_0_sniff,sniff,m2495, male,34, United States of America, EN, no,97,42,76.788,77.868
0.5935989,0.7319226,m0250_0_cough,cough,m0250, male,40, United States of America, EN, no,79,111,77.868,78.948
0.42182,0.4226565,f1939_0_sneeze,sneeze,f1939, female,69, United States of America, EN, no,30,47,78.948,80.028
0.42710415,0.7180486,m1442_0_cough,cough,m1442, male,51, United States of America, EN, no,30,103,80.028,81.108
0.18684393,0.51461697,m2892_0_laughter,laughter,m2892, male,19, United States of America, EN, no,20,76,81.108,82.188
0.041582193,0.50816464,m2887_0_laughter,laughter,m2887, male,27, United States of America, EN, no,1,74,82.188,83.268
0.16034494,0.42146146,f2120_0_laughter,laughter,f2120, female,34, United States of America, ZH, no,19,41,83.268,84.348
0.6359521,0.86659837,f1201_0_sigh,sigh,f1201, female,31, Italy, IT, no,102,134,84.348,85.428
0.743139,0.22482865,m2763_0_sneeze,sneeze,m2763, male,31, United Kingdom, PT, no,102,30,85.428,86.508
0.40182883,0.74061406,m3263_0_sneeze,sneeze,m3263, male,46, United Kingdom, EN, no,25,107,86.508,87.588
0.5171173,0.11061714,f0208_0_sniff,sniff,f0208, female,40, United States of America, EN, no,17,8,87.588,88.668
0.49666038,0.9593545,f1138_0_cough,cough,f1138, female,35, India, HI, no,45,140,88.668,89.748
0.36787784,0.81556267,m2578_0_cough,cough,m2578, male,40, United States of America, EN, no,12,124,89.748,90.828
0.8096162,0.7961407,f1242_1_throatclearing,throatclearing,f1242, female,39, United States of America, EN, no,135,133,90.828,91.908
0.23129039,0.51276714,m1687_0_laughter,laughter,m1687, male,58, United States of America, EN, no,25,70,91.908,92.772
0.47292104,0.44943148,m2736_0_sneeze,sneeze,m2736, male,36, United States of America, EN, no,42,59,92.772,93.852
0.6935393,0.021822656,m3318_0_sniff,sniff,m3318, male,24, Brazil, PT, no,99,3,93.852,94.932
0.15291098,0.37113345,f1141_0_laughter,laughter,f1141, female,40, United States of America, EN, no,17,18,94.932,96.012
0.92043597,0.32086986,f2086_0_sigh,sigh,f2086, female,49, United States of America, EN, no,131,46,96.012,97.092
0.39558515,0.47039405,f2112_0_sniff,sniff,f2112, female,41, Italy, IT, no,30,57,97.092,98.172
0.17181173,0.4297173,f1154_0_laughter,laughter,f1154, female,23, United Kingdom, EN, no,21,44,98.172,99.252
0.47434306,0.72496426,m1520_0_cough,cough,m1520, male,27, United States of America, EN, no,44,105,99.252,100.332
0.61030847,0.8257986,f3222_0_cough,cough,f3222, female,31, United States of America, EN, no,85,121,100.332,100.944
0.6404193,0.483625,f1949_2_throatclearing,throatclearing,f1949, female,27, United States of America, EN, no,84,70,100.944,101.844
0.6031846,0.79596376,f1495_0_cough,cough,f1495, female,50, United States of America, EN, no,83,118,101.844,102.924
0.47092006,0.7857674,m0662_0_cough,cough,m0662, male,25, United States of America, EN, no,45,114,102.924,104.004
0.6388483,0.5748399,m1002_0_sniff,sniff,m1002, male,26, Brazil, PT, no,86,90,104.004,105.084
0.8952635,0.22589278,m0142_0_sigh,sigh,m0142, male,24, Italy, IT, no,128,15,105.084,106.164
0.62952757,0.8046082,f0287_0_cough,cough,f0287, female,37, United States of America, EN, no,90,120,106.164,107.244
0.6361975,0.35007757,f0110_0_sneeze,sneeze,f0110, female,33, India, TA, no,77,48,107.244,108.324
0.16012634,0.54181623,m0817_0_laughter,laughter,m0817, male,30, Italy, IT, no,16,94,108.324,109.404
0.7918601,0.68731606,m3338_0_throatclearing,throatclearing,m3338, male,59, United States of America, EN, no,124,107,109.404,110.484
0.9146895,0.39578182,f2599_0_sigh,sigh,f2599, female,38, United States of America, HI, no,134,70,110.484,111.564
0.8898269,0.46277836,f1440_0_sigh,sigh,f1440, female,20, United States of America, EN, no,141,94,111.564,112.644
0.5048895,0.9211218,f0827_0_cough,cough,f0827, female,29, United States of America, EN, no,48,133,112.644,113.508
0.89786035,0.24062723,m1641_0_sigh,sigh,m1641, male,33, United States of America, EN, no,129,23,113.508,114.588
0.7104675,0.06585057,m2468_0_sniff,sniff,m2468, male,32, United States of America, EN, no,105,8,114.588,115.56
0.5345024,0.09542986,f1028_0_sniff,sniff,f1028, female,23, United States of America, EN, no,21,8,115.56,116.64
0.63083076,0.390516,m3341_0_sneeze,sneeze,m3341, male,42, United States of America, EN, no,78,54,116.64,117.72
0.18002024,0.37619796,f0815_0_laughter,laughter,f0815, female,42, United States of America, EN, no,21,21,117.72,118.8
0.09333176,0.37741494,f0800_0_laughter,laughter,f0800, female,31, United States of America, EN, no,8,20,118.8,119.88
0.5629099,0.690007,m0965_0_throatclearing,throatclearing,m0965, male,30, India, ML, no,68,102,119.88,120.96
0.57059205,0.13572861,m2138_0_sniff,sniff,m2138, male,28, United States of America, EN, no,42,15,120.96,122.04
0.17196527,0.4584719,f1309_0_laughter,laughter,f1309, female,50, United States of America, EN, no,20,53,122.04,123.12
0.9341164,0.2166124,f0421_0_sigh,sigh,f0421, female,23, United States of America, EN, no,135,9,123.12,124.2
0.746656,0.45773965,f1578_0_sniff,sniff,f1578, female,41, Italy, IT, no,105,69,124.2,125.28
0.55205804,0.5229607,m3314_0_sneeze,sneeze,m3314, male,55, United States of America, EN, no,61,78,125.28,126.36
0.8441779,0.25840193,m0620_0_sigh,sigh,m0620, male,39, United States of America, EN, no,117,32,126.36,127.44
0.75566345,0.42044967,f2092_0_throatclearing,throatclearing,f2092, female,26, Brazil, PT, no,105,61,127.44,128.52
0.7886878,0.7882166,f0923_0_throatclearing,throatclearing,f0923, female,49, United States of America, EN, no,128,129,128.52,129.6
0.34510952,0.60593575,m1143_0_laughter,laughter,m1143, male,51, United States of America, ES, no,25,99,129.6,130.68
0.71551913,0.66845495,m0996_0_throatclearing,throatclearing,m0996, male,19, United States of America, EN, no,109,100,130.68,131.76
0.83453035,0.47590747,f1322_0_sigh,sigh,f1322, female,29, United States of America, EN, no,130,88,131.76,132.696
0.9228433,0.3855747,m1123_0_sigh,sigh,m1123, male,21, United States of America, EN, no,135,67,132.696,133.776
0.5035481,0.51527685,f1334_0_sneeze,sneeze,f1334, female,23, United Kingdom, EN, no,48,78,133.776,134.856
0.6577984,0.26949573,m1681_0_sneeze,sneeze,m1681, male,21, United States of America, EN, no,83,36,134.856,135.936
0.2112112,0.53497446,m3203_0_laughter,laughter,m3203, male,27, India, ML, no,21,84,135.936,137.016
0.9715905,0.33275667,f0109_0_sigh,sigh,f0109, female,31, Mexico, ES, no,140,54,137.016,138.096
0.54355747,0.9654196,f2989_0_cough,cough,f2989, female,59, United States of America, EN, no,66,141,138.096,139.176
0.46606475,0.4334519,f1361_0_sneeze,sneeze,f1361, female,32, India, TE, no,40,53,139.176,140.256
0.49037176,0.45828483,f0661_0_sneeze,sneeze,f0661, female,40, United States of America, EN, no,46,61,140.256,141.192
0.786688,0.16874814,f1315_0_sigh,sigh,f1315, female,27, India, TE, no,120,10,141.192,142.272
0.8060814,0.7361971,m2229_0_throatclearing,throatclearing,m2229, male,21, Brazil, PT, yes,128,120,142.272,143.352
0.8004347,0.21646225,m0308_0_sigh,sigh,m0308, male,27, United Kingdom, EN, no,113,28,143.352,144.432
0.11348473,0.34214836,f1540_0_laughter,laughter,f1540, female,30, United States of America, EN, no,11,5,144.432,145.512
0.82045734,0.24297942,m1114_0_sigh,sigh,m1114, male,53, United States of America, EN, no,115,30,145.512,146.592
0.5152248,0.868186,f2679_0_cough,cough,f2679, female,61, United States of America, EN, no,58,126,146.592,147.672
0.47895163,0.41493562,m0459_0_sniff,sniff,m0459, male,38, United States of America, EN, no,41,48,147.672,148.752
0.75564885,0.36193922,f3019_0_sniff,sniff,f3019, female,40, United States of America, EN, no,102,52,148.752,149.832
0.9785223,0.30546877,f0416_0_sigh,sigh,f0416, female,32, United States of America, RU, no,141,41,149.832,150.84
0.39534733,0.88654953,m1769_0_cough,cough,m1769, male,73, United States of America, EN, no,14,140,150.84,151.92
0.16152218,0.38474593,f3049_0_laughter,laughter,f3049, female,24, Brazil, PT, no,18,24,151.92,153.0
0.3666826,0.80629104,m1906_0_cough,cough,m1906, male,18, Italy, IT, no,13,121,153.0,154.08
0.7386346,0.4251363,m2634_0_throatclearing,throatclearing,m2634, male,24, United States of America, EN, no,101,61,154.08,155.16
0.39187342,0.4790202,m1887_0_throatclearing,throatclearing,m1887, male,49, United Kingdom, EN, no,31,61,155.16,156.24
0.7200468,0.7708911,f2672_0_throatclearing,throatclearing,f2672, female,50, United States of America, EN, no,114,122,156.24,157.32
0.4069211,0.8713381,m3136_0_throatclearing,throatclearing,m3136, male,43, United States of America, EN, no,19,137,157.32,158.4
0.8927856,0.23524576,m1676_0_sigh,sigh,m1676, male,24, United States of America, EN, no,127,21,158.4,159.48
0.59994847,0.8724929,f0151_0_cough,cough,f0151, female,34, United States of America, EN, no,89,130,159.48,160.56
0.6240382,0.1362315,f2794_0_sniff,sniff,f2794, female,40, Italy, PT, no,70,16,160.56,161.64
0.644895,0.38009533,m2165_0_sneeze,sneeze,m2165, male,32, United Kingdom, EN, no,83,54,161.64,162.72
0.5888577,0.19596222,m2371_0_sniff,sniff,m2371, male,19, Canada, EN, no,55,26,162.72,163.8
0.5039951,0.4217864,f3186_0_sniff,sniff,f3186, female,27, United States of America, EN, no,49,53,163.8,164.88
0.79255223,0.660908,m3341_0_throatclearing,throatclearing,m3341, male,42, United States of America, EN, no,125,100,164.88,165.96
0.37793088,0.8216052,m2303_0_cough,cough,m2303, male,21, United States of America, EN, no,15,125,165.96,167.04
0.7172475,0.79800546,f3183_0_throatclearing,throatclearing,f3183, female,35, United States of America, EN, no,115,129,167.04,168.12
0.05132057,0.5234409,m1557_0_laughter,laughter,m1557, male,28, India, TA, no,2,83,168.12,169.2
0.545348,0.9813781,f0401_0_cough,cough,f0401, female,27, United States of America, EN, no,68,143,169.2,170.28
0.66053677,0.38794556,m2130_0_sneeze,sneeze,m2130, male,24, Canada, EN, no,87,55,170.28,171.216
0.24490541,0.55598015,m1542_0_laughter,laughter,m1542, male,29, India, EN, no,21,95,171.216,172.296
0.52280325,0.7287412,m3041_0_cough,cough,m3041, male,50, United States of America, EN, no,59,107,172.296,173.376
0.6232669,0.15821593,m1684_0_sniff,sniff,m1684, male,46, India, TA, no,70,21,173.376,174.456
0.53894275,0.15892878,m2621_0_sniff,sniff,m2621, male,18, Italy, IT, no,30,14,174.456,175.536
0.637475,0.32674745,f3185_0_sneeze,sneeze,f3185, female,22, United States of America, EN, no,75,43,175.536,176.616
0.107989,0.41126546,f2908_0_laughter,laughter,f2908, female,25, United States of America, EN, no,11,36,176.616,177.696
0.7848777,0.5965046,m0175_0_sigh,sigh,m0175, male,25, United States of America, ES, no,126,93,177.696,178.776
0.6409959,0.08115801,f1261_0_sniff,sniff,f1261, female,54, United States of America, EN, no,76,10,178.776,179.856
0.80929863,0.41638356,m1228_0_sigh,sigh,m1228, male,19, Italy, IT, no,113,63,179.856,180.936
0.91552544,0.4170472,m0034_0_sigh,sigh,m0034, male,30, United States of America, EN, no,139,80,180.936,182.016
0.455172,0.40011406,f0711_0_sneeze,sneeze,f0711, female,60, United States of America, EN, no,37,40,182.016,183.096
0.04930479,0.42836156,f1387_0_laughter,laughter,f1387, female,61, United States of America, EN, no,2,43,183.096,184.176
0.10727705,0.42118087,f1392_0_laughter,laughter,f1392, female,50, United States of America, EN, no,10,43,184.176,185.256
0.9193817,0.3994945,m0129_0_laughter,laughter,m0129, male,21, Brazil, PT, no,136,72,185.256,186.336
0.43828553,0.4136023,f1244_0_sneeze,sneeze,f1244, female,25, United States of America, EN, no,34,44,186.336,187.416
0.82618433,0.80660886,f0888_0_throatclearing,throatclearing,f0888, female,34, United States of America, EN, no,141,138,187.416,188.496
0.89033896,0.31591675,m1737_0_sigh,sigh,m1737, male,67, United States of America, EN, no,123,43,188.496,189.576
0.5226754,0.66792333,m0069_0_cough,cough,m0069, male,27, India, HI, no,57,98,189.576,190.656
0.5375565,0.212441,m1609_0_sniff,sniff,m1609, male,50, United States of America, EN, no,34,22,190.656,191.736
0.11650679,0.57071495,m2435_0_laughter,laughter,m2435, male,21, United States of America, EN, no,8,112,191.736,192.816
0.13472596,0.51888585,m2420_0_laughter,laughter,m2420, male,29, United States of America, EN, no,13,79,192.816,193.896
0.6950259,0.5040252,f2861_0_sigh,sigh,f2861, female,25, Italy, IT, no,98,77,193.896,194.976
0.36142147,0.74359703,m0539_0_cough,cough,m0539, male,24, Brazil, PT, no,13,112,194.976,196.056
0.5673259,0.3386157,m1359_0_sniff,sniff,m1359, male,32, India, HI, no,54,40,196.056,196.992
0.87898606,0.6872197,m2308_0_throatclearing,throatclearing,m2308, male,22, United States of America, EN, no,143,103,196.992,198.072
0.101322226,0.41713396,f2422_0_laughter,laughter,f2422, female,27, Brazil, PT, no,9,39,198.072,199.152
0.6744031,0.7594623,f2524_0_throatclearing,throatclearing,f2524, female,32, United States of America, EN, no,100,116,199.152,200.232
0.804458,0.6989317,f1913_0_throatclearing,throatclearing,f1913, female,51, United States of America, EN, no,126,110,200.232,201.312
0.5708414,0.8443426,f2904_0_cough,cough,f2904, female,28, United States of America, EN, no,73,122,201.312,202.392
0.42958066,0.6028043,m0374_0_laughter,laughter,m0374, male,23, United States of America, EN, no,42,90,202.392,203.472
0.37812132,0.601689,m0361_0_laughter,laughter,m0361, male,20, Italy, IT, no,31,95,203.472,204.552
0.63076615,0.696041,m1955_0_throatclearing,throatclearing,m1955, male,43, United States of America, EN, no,87,103,204.552,205.632
0.9267658,0.35832286,m2493_0_sigh,sigh,m2493, male,25, United States of America, EN, no,134,57,205.632,206.712
0.5576338,0.18883075,m2733_0_sniff,sniff,m2733, male,31, United Kingdom, ML, no,41,20,206.712,207.792
0.05760578,0.50002116,m2715_0_throatclearing,throatclearing,m2715, male,71, India, HI, no,4,71,207.792,208.872
0.62034494,0.8836406,f1301_0_cough,cough,f1301, female,19, United States of America, EN, no,98,135,208.872,209.952
0.7537948,0.18938084,m0249_0_sigh,sigh,m0249, male,33, India, EN, no,105,24,209.952,211.032
0.71855444,0.13202171,m0184_0_sniff,sniff,m0184, male,51, Italy, IT, no,101,14,211.032,212.112
0.36399475,0.816176,m2741_0_cough,cough,m2741, male,29, United States of America, EN, no,11,124,212.112,213.192
0.7885743,0.24082437,m3121_0_sniff,sniff,m3121, male,39, Bulgaria, BG, no,110,31,213.192,214.272
0.5139603,0.65813255,f2901_0_sneeze,sneeze,f2901, female,21, United States of America, EN, no,53,95,214.272,215.352
0.49681914,0.9422071,f0513_0_cough,cough,f0513, female,75, United States of America, EN, no,44,137,215.352,216.432
0.9255044,0.2708429,f1254_0_sigh,sigh,f1254, female,31, United States of America, EN, no,131,33,216.432,217.512
0.37736118,0.7296537,m3153_0_cough,cough,m3153, male,51, United States of America, ES, no,20,108,217.512,218.592
0.52945215,0.14670801,m2263_0_sniff,sniff,m2263, male,36, Canada, EN, no,23,11,218.592,219.672
0.7103587,0.6957589,m2591_0_throatclearing,throatclearing,m2591, male,32, Brazil, PT, no,109,106,219.672,220.752
0.55564684,0.741734,m3017_0_throatclearing,throatclearing,m3017, male,43, United States of America, EN, no,66,110,220.752,221.832
0.5666367,0.16269901,f3094_0_sniff,sniff,f3094, female,22, United States of America, EN, no,43,18,221.832,222.912
0.61024034,0.93314195,f1651_0_cough,cough,f1651, female,20, United States of America, BN, no,101,139,222.912,223.992
0.54181015,0.5051748,m2015_0_sneeze,sneeze,m2015, male,24, India, PA, no,60,74,223.992,225.072
0.48111653,0.97359437,f0043_0_cough,cough,f0043, female,39, United States of America, EN, no,38,142,225.072,226.152
0.7200991,0.1684225,f2686_0_sniff,sniff,f2686, female,38, India, ML, no,98,22,226.152,227.232
0.90674704,0.43617794,m1062_0_sigh,sigh,m1062, male,31, India, ML, no,139,83,227.232,228.312
0.5858917,0.8436833,f2522_0_cough,cough,f2522, female,47, United States of America, ZH, no,79,123,228.312,229.392
0.45333344,0.89411294,m1162_0_cough,cough,m1162, male,66, United States of America, EN, no,32,136,229.392,230.472
0.5627592,0.07797733,m0702_0_sniff,sniff,m0702, male,51, United States of America, EN, no,33,8,230.472,231.552
0.5879759,0.88942075,f1587_0_cough,cough,f1587, female,37, United States of America, EN, no,84,130,231.552,232.632
0.44226572,0.8234082,m0770_0_cough,cough,m0770, male,28, United States of America, EN, no,33,123,232.632,233.712
0.41976196,0.8694398,m3285_0_cough,cough,m3285, male,38, United States of America, EN, no,24,134,233.712,234.792
0.36187738,0.80469835,m1432_0_cough,cough,m1432, male,29, United States of America, EN, no,10,122,234.792,235.872
0.75658584,0.22020862,m0252_0_sniff,sniff,m0252, male,43, United States of America, EN, no,104,30,235.872,236.952
0.116766065,0.5705431,m0528_0_laughter,laughter,m0528, male,19, Canada, EN, no,9,111,236.952,238.032
0.42069024,0.8117686,m0220_0_cough,cough,m0220, male,30, United States of America, TE, no,28,120,238.032,239.112
0.061431043,0.39916864,f1786_0_laughter,laughter,f1786, female,49, United States of America, EN, no,4,32,239.112,240.192
0.6327555,0.49056318,f2986_0_laughter,laughter,f2986, female,44, United States of America, EN, no,82,71,240.192,241.272
0.19039316,0.3693722,f2993_0_laughter,laughter,f2993, female,49, United States of America, EN, no,22,18,241.272,242.352
0.83652586,0.20255816,m0761_0_sigh,sigh,m0761, male,21, Italy, IT, no,122,13,242.352,243.432
0.66461796,0.3536919,m0580_0_sneeze,sneeze,m0580, male,28, United States of America, EN, no,89,50,243.432,244.512
0.52082485,0.65627134,m1080_0_sneeze,sneeze,m1080, male,24, United States of America, EN, no,55,96,244.512,245.592
0.10833769,0.38393152,f0777_0_laughter,laughter,f0777, female,30, United States of America, EN, no,10,24,245.592,246.672
0.62752014,0.32833487,f0060_0_sneeze,sneeze,f0060, female,19, Italy, IT, no,71,43,246.672,247.752
0.44646356,0.43844932,f1994_0_sneeze,sneeze,f1994, female,52, Canada, FR, no,38,55,247.752,248.472
0.5194768,0.41538414,f1560_0_sneeze,sneeze,f1560, female,41, India, ML, no,52,51,248.472,249.12
0.12239488,0.4959206,m2021_0_laughter,laughter,m2021, male,40, Italy, IT, no,12,68,249.12,250.2
0.33048636,0.5261661,m2034_0_laughter,laughter,m2034, male,29, Brazil, PT, no,31,71,250.2,251.28
0.638993,0.5264383,m0921_0_sneeze,sneeze,m0921, male,25, United States of America, EN, no,85,79,251.28,252.288
0.7748856,0.5372216,m0880_0_cough,cough,m0880, male,35, United States of America, EN, no,121,91,252.288,253.368
0.3021168,0.5668935,m0760_0_laughter,laughter,m0760, male,28, United States of America, EN, no,24,91,253.368,254.448
0.63037825,0.08367178,f0278_0_sniff,sniff,f0278, female,41, United States of America, EN, no,72,10,254.448,255.528
0.748349,0.52402186,m2991_0_laughter,laughter,m2991, male,19, United States of America, EN, yes,110,87,255.528,256.608
0.4609702,0.8423889,m2058_0_cough,cough,m2058, male,35, Macedonia, MK, no,41,125,256.608,257.688
0.4026389,0.5935185,f2023_0_laughter,laughter,f2023, female,39, United States of America, EN, no,37,92,257.688,258.768
0.56605434,0.56468993,m2731_0_sneeze,sneeze,m2731, male,35, Pakistan, UR, no,64,86,258.768,259.848
0.8000034,0.6739549,m2382_0_throatclearing,throatclearing,m2382, male,26, India, TE, no,126,103,259.848,260.928
0.71695673,0.13256533,f0728_0_sniff,sniff,f0728, female,39, United States of America, EN, no,100,14,260.928,262.008
